Fund;Fund Type;Country;World Bank Region;Income Classification;Name of Project;Theme/Objective;Sector (OECD);DAC 5 Code;Sub-Sector;Key words;Implementing Agency;Recipient Institution;Recipient Institution type;Approved year;End year;Concessional loan;Grant;Guarantee;Equity;Amount of Funding Approved (USD millions); Disbursed (USD millions);Least Developed Country;Small Island Developing Nation;Fragile or Conflict Affected State
Global Environment Facility (GEF4);Multilateral;Jordan;Middle East & North Africa;Upper middle income;Energy Efficiency Standards and Labeling of Building Appliances;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNDP;;;2009;;;0,97;;;0,97;0,97;;;
Global Environment Facility (GEF4);Multilateral;Jordan;Middle East & North Africa;Upper middle income;Promotion of a Wind Power Market;Mitigation - General;Energy generation, renewable sources;DAC232_;Wind Power;;IBRD;;;2007;;;6;;;6;6;;;
Global Environment Facility (GEF6);Multilateral;Jordan;Middle East & North Africa;Upper middle income;A Systemic Approach to Sustainable Urbanization and Resource Efficiency in Greater Amman Municipality (GAM);Mitigation - General;Other Multisector;DAC430_;Urban Development and Management;;UNDP;;;2016;;;2,64;;;2,64; ;;;
Global Environment Facility (GEF6);Multilateral;Jordan;Middle East & North Africa;Upper middle income;First Biennial Update Report;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;;;2014;2020;;0,35;;;0,35;0,35;;;
Green Climate Fund (GCF-1);Multilateral;Gambia;Sub-Saharan Africa;Low income;(FP188) Climate Resilient Fishery Initiative for Livelihood Improvement in the Gambia (PROREFISH Gambia);Multiple Foci;Fishing;DAC313_;Fishery development;resilience, local fishery;Food and Agriculture Organization of the United Nations (FAO);;;2022;2028;;17,2;;;17,2;5,17;LDC;;FCAS
Green Climate Fund (GCF-1);Multilateral;Regional - Latin America and the Caribbean;Latin America & Caribbean;Not applicable;(FP189) E-Mobility Program for Sustainable Cities in Latin America and the Caribbean;Multiple Foci;Transport & Storage;DAC210_;Transport policy and administrative management;Evs, infrastructure;"Inter-American Development Bank
";;;2022;;145;55;;;200;4,94;;;
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;(FP190) Climate Investor Two;Multiple Foci;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;private sector, water sector;Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden NV (FMO);;;2022;2042;;145;;;145;33,26;;;
MDG Achievement Fund;Multilateral;Jordan;Middle East & North Africa;Upper middle income;Adaptation to Climate Change to Sustain Jordanís MDG Achievements;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;;UNESCO/FAO/WHO/UNDP;;;2009;;;3,6;;;3,6;3,6;;;
Partnership for Market Readiness;Multilateral;Jordan;Middle East & North Africa;Upper middle income;Market Readiness Proposal MRP;Mitigation - General;Government & Civil Society;DAC150_;Environmental research;;;;;2011;;;0,34;;;0,34;;;;
Partnership for Market Readiness;Multilateral;Jordan;Middle East & North Africa;Upper middle income;PMR Program Jordan;Mitigation - General;Government & Civil Society;DAC150_;Environmental research;;World Bank (BETF);World Bank;;2016;2020;;3;;;3;2,88;;;
Special Climate Change Fund (SCCF);Multilateral;Jordan;Middle East & North Africa;Upper middle income;TT-Pilot (GEF-4) DHRS: Irrigation Technology Pilot Project to face Climate Change Impact ;Adaptation;Agriculture;DAC311_;Agricultural water resources;;IFAD;"Ministry of Planning and International Cooperation; Ministry of the Environment; National Center for Agricultural Research and Extension";;2010;2019;;2;;;2;2;;;
Clean Technology Fund (CTF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Kazakhstan Renewable Energy Finance Facility (KAZREFF);Mitigation - General;Banking & Financial Services;DAC240_;Energy generation, renewable sources - multiple technologies;;EBRD;Private sector;;2012;;44,03;3,23;;;47,26;;;;
Clean Technology Fund (CTF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Renewable Energy Infrastructure Program;Mitigation - General;Energy;DAC230_;Power generation/renewable sources;;IFC;Private sector;;2014;;;1,2;;;1,2;;;;
Clean Technology Fund (CTF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;District Heating Modernisation Framework Project (DHMFF);Mitigation - General;Energy;DAC230_;Power generation/renewable sources;"District heating; urban";EBRD;National Company Recipient (NCR);;2011;;16,4;2,38;;;18,78;;;;
Clean Technology Fund (CTF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Kazakh Railways: Sustainable Energy Progam;Mitigation - General;Transport & Storage;DAC210_;Rail Transport;;EBRD;National Company Recipient (NCR);;2011;;;0,26;;;0,26;;;;
Clean Technology Fund (CTF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;BDF: Promoting Investment Roadmaps for low-Carbon Infrastructure Development in Central Asia Regional Economic Cooperation Program Cities ;Mitigation - General;Energy;DAC230_;;;ADB;Public Sector;;2018;;;0,74;;;0,74;0,68;;;
Clean Technology Fund (CTF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;BDF: Renewable Energy Project Preparation;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;EBRD;Public Sector;;2017;;;1,05;;;1,05;0,66;;;
Clean Technology Fund (CTF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Yermentau Large Wind Power Plant;Mitigation - General;Energy generation, renewable sources;DAC232_;Wind Power;;EBRD;Private sector;;2014;;;0,57;;;0,57;;;;
Global Environment Facility (GEF4);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Energy Efficient Design and Construction in Residential Sector;Mitigation - General;Energy;DAC230_;Energy efficiency;;UNDP;;;2009;;;4,57;;;4,57;4,57;;;
Global Environment Facility (GEF4);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;LGGE Promotion of energy efficient lighting in Kazakhstan;Mitigation - General;Energy;DAC230_;Energy efficiency;;UNDP;;;2010;;;3,4;;;3,4;3,4;;;
Global Environment Facility (GEF4);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Sustainable Transport in the City Of Almaty;Mitigation - General;Transport & Storage;DAC210_;Transport policy and administrative management;;UNDP;;;2010;;;5;;;5;5;;;
Global Environment Facility (GEF5);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Reducing GHG Emissions through a Resource Efficiency Transformation Programme (ResET) for Industries in Kazakhstan ;Mitigation - General;Industry;DAC321_;Energy efficiency;Industrial;EBRD;Ministry of Industry and New Technologies (MINT);;2010;2015;;7,09;;;7,09;7,09;;;
Global Environment Facility (GEF5);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Development of Kazakhstan's National communication to the UNFCCC and Biennial Report;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;;;2014;;;0,85;;;0,85;0,85;;;
Global Environment Facility (GEF5);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Nationally Appropriate Mitigation Actions for Low-carbon Urban Development;Mitigation - General;Other Multisector;DAC430_;Urban Development and Management;;UNDP;National Agency for Construction and Housing&Communal Affairs, Ministry of Ministry of Environment Protection , Ministry of Economy and Strategic Planning, City Administrations (Akimats);;2013;;;5,93;;;5,93;5,93;;;
Global Environment Facility (GEF6);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Energy Efficient Standards, Certification, and Labeling for Appliances and Equipment;Mitigation - General;Energy;DAC230_;Energy efficiency;;UNDP;;;2016;;;3,5;;;3,5; ;;;
Global Environment Facility (GEF6);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;De-risking Renewable Energy Investment In Kazakhstan;Mitigation - General;Banking & Financial Services;DAC240_;Power generation/renewable sources;;UNDP;;;2015;;;4,51;;;4,51;4,51;;;
Green Climate Fund (GCF-1);Multilateral;Vanuatu;East Asia & Pacific;Lower middle income;(FP191) Enhancing Adaptation and Community Resilience by Improving Water Security in Vanuatu;Adaptation;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;water resources management;Pacific Community;;;2022;;;23,33;;;23,33;8,02;;SIDS - Pacific;
Global Environment Facility (GEF7);Multilateral;Jordan;Middle East & North Africa;Upper middle income;Integrated adoption of electric mobility in Jordan;Mitigation - General;transport & Storage;DAC210_;Road transport;urban areas, electric mobility;United Nations Industrial Development Organization;Global Green Growth Institute (GGGI);;2022;;;1,14;;;1,14;;;;
Global Environment Facility (GEF7);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Global Cleantech Innovation Programme in Kazakhstan - Promoting cleantech innovation and entrepreneurship in SMEs for green jobs in Kazakhstan;Mitigation - General;business & Other Services;DAC250_;Business Policy and Administration;cleantechs, start-ups;United Nations Industrial Development Organization;Non-Commercial JSC International Green Technologies and Investment Projects Center (IGTIC), Network for Global Innovation (NGIN), Cleantech Group (CTG);;2021;;;1,78;;;1,78;;;;
Global Environment Facility (GEF7);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Seventh Operational Phase of the GEF Small Grants Programme in Kazakhstan;Multiple Foci;General Environment Protection;DAC410_;Environmental policy and administrative management;socio-ecological resilience, sustainable community entreprises;UNDP;UNOPS;;2022;;;1,83;;;1,83;;;;
Global Environment Facility (GEF7);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Development of Kazakhstan's Eight National Communication and Preparation of two (Fourth and Fifth) Biennial Reports to the UNFCCC;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNDP;Ministry of Energy of the Republic of Kazakhstan;;2019;;;0,85;;;0,85;;;;
Partnership for Market Readiness;Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Technical Partner;Mitigation - General;Government & Civil Society;DAC150_;Environmental research;;World Bank, Environment & Natural Resources Global Practice;Ministry of Energy;;2016;;;1,5;;;1,5;1,5;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;India;South Asia;Lower middle income;TAF: Supporting Green Hydrogen Through High Technology;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;ADB;Public Sector;;2022;;;0,55;;;0,55;;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Jordan;Middle East & North Africa;Upper middle income;TAF: Climate Responsive Economic Recovery and Growth Technical Assistance;Mitigation - General;General Environment Protection;DAC410_;Environmental policy and administrative management;;IBRD;Public Sector;;2022;;;0,32;;;0,32;;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;TAF: Capacity building for renewable energy integration in Kazakhstan;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;EBRD;;Public Sector;2020;;;0,75;;;0,75;0,11;;;
Special Climate Change Fund (SCCF);Multilateral;Kazakhstan;Europe & Central Asia;Upper middle income;Southeast Europe and Central Asia Catastrophe Risk Insurance Facility;Adaptation;Disaster Prevention & Preparedness;DAC740_;Disaster prevention and preparedness;;World Bank;Europa Re;;2016;;;5;;;5;5;;;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Iraq;Middle East & North Africa;Upper middle income;Smallholder Agricultural Revitalization Project (SARP);Adaptation;Agriculture;DAC311_;Agricultural policy and administrative management;;Governments;;;2017;;;2;;;2;0,5;;;FCAS
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;"Climate Resilient Agricultural Livelihoods Programme 
(KCEP-CRAL) ";Adaptation;Agriculture;DAC311_;Agricultural policy and administrative management;;Governments;;;2015;;;10;;;10;9,65;;;
Adaptation Fund (AF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Learning Grant for Kenya ;Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;National Environment Management Authority (NEMA);;;2021;;;0,14;;;0,14;0,14;;;
Adaptation Fund (AF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Technical Assistance Grant for ESP and Gender (Readiness grant);Adaptation;General environment protection;DAC410_;Environmental policy and administrative management;;National Environment Management Authority (NEMA);;;2016;2018;;0,03;;;0,03;0,03;;;
Adaptation Fund (AF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Building Resilience To Climate Change & Adaptive Capacity Of Vulnerable Communities in kenya;Adaptation;Other Multisector;DAC430_;Environmental policy and administrative management;Food security, natural disasters, capacity building;National Environment Management Authority (NEMA);KEFRI, TARDA, CDA;;2013;2019;;10;;;10;10;;;
Clean Technology Fund (CTF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;DPSP II: Concessional Finance Program for Geothermal Generation;Mitigation - General;Energy generation, renewable sources;DAC232_;Geothermal;;AfDB;Private sector;;2016;;29,65;0,35;;;30;;;;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;IBRD;Kenya Forest Service;;2009;;;0,17;;;0,17;0,17;;;
Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Readiness Fund Grant;Mitigation - REDD;Forestry;DAC312_;Forestry policy and administrative management;;UNDP;;;2017;;;3,6;;;3,6;3,44;;;
Global Environment Facility (GEF4);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Market Transformation for Efficient Biomass Stoves for Institutions and Small and Medium-Scale Enterprises;Mitigation - General;Energy;DAC230_;Biomass;;UNDP;;;2006;;;0,97;;;0,97;0,97;;;
Global Environment Facility (GEF4);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Development and Implementation of a Standards and Labeling Programme in Kenya with Replication in East Africa;Mitigation - General;Industry;DAC321_;Industrial policy and administrative management;;UNDP;;;2007;;;2;;;2;2;;;
Global Environment Facility (GEF5);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Sustainable Conversion of Waste into Clean Energy for GHG Emission Reduction;Mitigation - General;Energy;DAC230_;Biomass;;UNIDO;Nairobi City Council, Ministries of Environment, Industry, Energy and Agriculture;;2013;;;2;;;2;2;;;
Global Environment Facility (GEF6);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Strengthening National Institutions in Kenya to Meet the Transparency Requirements of the Paris Agreement and Sharing Best Practices in the East Africa Region;Multiple Foci;Government & Civil Society;DAC150_;;Paris Agreement;Conservation International;Ministry of Environment and Natural Resources;;2017;;;1;;;1; ;;;
Green Climate Fund (GCF-1);Multilateral;Barbados;Latin America & Caribbean;High income;(FP192) The R's (Reduce, Reuse and Recycle) for Climate Resilience Wastewater Systems in Barbados (3R-CReWS);Multiple Foci;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;food production, water;Caribbean Community Climate Change Centre (CCCCC);;;2022;2027;;39,39;;;39,39;6;;SIDS - Caribbean;
Green Climate Fund (GCF-1);Multilateral;Peru;Latin America & Caribbean;Upper middle income;(FP193) Peruvian Amazon Eco Bio Business Facility (Amazon EBBF);Mitigation - General;Business & Other Services;DAC250_;Business development services;;Peruvian Trust Fund for National Parks and Protected Areas (PROFONANPE);;;2022;2033;;8,97;;;8,97;0,68;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;PSSA: Kopere Solar Park ;Mitigation - General;Energy generation, renewable sources;DAC232_;Solar energy;;AFDB;Private sector;;2018;;11,6;;;;11,6;;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Technical preparatory studies for the creation of a Green Bank to mobilise resources (public & private) to finance the energy transition and energy efficiency;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;AfDB;;;2024;;;0,48;;;0,48;;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Electricity Modernisation Project;Mitigation - General;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;;IBRD;;;2015;;;7,5;;;7,5;7,5;;;
Scaling Up Renewable Energy Program (SREP);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Menengai Geothermal Development (AfDB);Mitigation - General;Energy generation, renewable sources;DAC232_;Geothermal;;AfDB;Ministry of Energy;National government;2011;;5,38;14,51;;;19,89;19,89;;;
Special Climate Change Fund (SCCF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;Adaptation to Climate Change in Arid Lands (KACCAL) ;Adaptation;Agriculture;DAC311_;Agricultural land resources;;World Bank/UNDP;Office of the President, Special Programs Department;;2007;2017;;6,5;;;6,5;6,5;;;
Special Climate Change Fund (SCCF);Multilateral;Kenya;Sub-Saharan Africa;Lower middle income;RLACC - Rural Livelihoods' Adaptation to Climate Change in the Horn of Africa (PROGRAM);Adaptation;Agriculture;DAC311_;Agricultural land resources;;AfDB;Ministry of Agriculture, Livestock and Fisheries;;2013;;;2,58;;;2,58;2,58;;;
Global Environment Facility (GEF4);Multilateral;Kiribati;East Asia & Pacific;Lower middle income;Grid Connected Solar PV Central Station Project;Mitigation - General;Energy generation, renewable sources;DAC232_;Solar Energy;;World Bank;;;2010;;;1;;;1;1;LDC;SIDS - Pacific;FCAS
Global Environment Facility (GEF6);Multilateral;Kiribati;East Asia & Pacific;Lower middle income;Promoting Outer Island Development through the Integrated Energy Roadmap (POIDIER);Multiple Foci;Energy;DAC230_;Energy generation, renewable sources - multiple technologies;renewable energy, energy efficiency;UNDP;"Ministry of Public Works &amp; Utilities (MPWU)";;2018;;;5,38;;;5,38;;LDC;SIDS - Pacific;FCAS
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;(FP194) Programme for Energy Efficiency in Buildings (PEEB) Cool;Multiple Foci;Energy;DAC230_;;construction, energy-efficient;Agence FranÁaise de Developpement (AFD) ;;;2022;;182,46;46,17;;;228,63;15,74;;;
Least Developed Countries Fund (LDCF);Multilateral;Kiribati;East Asia & Pacific;Lower middle income;South Tarawa Water Supply Project;Adaptation;Water Supply & Sanitation;DAC140_;Water sector policy and administrative management;Water supply, risk;Asian Development Bank;Ministry of Infrastructure and Sustainable Energy;Government;2021;;;4,59;;;4,59;;LDC;SIDS - Pacific;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Kiribati;East Asia & Pacific;Lower middle income;Enhancing National Food Security in the Context of Global Climate Change;Adaptation;Other Multisector;DAC430_;Food aid/Food security programmes;Climate smart policies;UNDP;Ministry of Economic Development Ministry of Environment Ministry of Disaster Management Finance Commission of Sri Lanka ;;2013;;;4,45;;;4,45;4,45;LDC;SIDS - Pacific;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Kiribati;East Asia & Pacific;Lower middle income;Enhancing Whole of Islands Approach to Strengthen Community Resilience to Climate and Disaster Risks in Kiribati;Adaptation;Other Multisector;DAC430_;Reslience;community resilience, climate and disaster risk;UNDP;Office of Te Berentitenti (OB) Kiribati;;2017;;;8,93;;;8,93;;LDC;SIDS - Pacific;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Kiribati;East Asia & Pacific;Lower middle income;National Adaptation Programme of Action (NAPA) ;Adaptation;Unallocated / Unspecified;DAC998_;Environmental Research;NAPA;UNDP;Ministry of Environment and Social Development;;2004;2008;;0,2;;;0,2;0,2;LDC;SIDS - Pacific;FCAS
Least Developed Countries Fund (LDCF);Multilateral;Kiribati;East Asia & Pacific;Lower middle income;Increasing Resilience to Climate Variability and Hazards ;Adaptation;Water Supply & Sanitation;DAC140_;Basic drinking water supply;;World Bank;Office of the President (OB), Ministry of Environment, Land and Agric. Development, Ministry of Public Works and Utilities, Meteorological Office;;2010;2017;;3;;;3;3;LDC;SIDS - Pacific;FCAS
Global Environment Facility (GEF5);Multilateral;Kuwait;Middle East & North Africa;High income;Enabling Kuwait to Prepare Its Second National Communication (SNC) and Biennial Update Report (BUR) to the UNFCCC;Multiple Foci;Unallocated / Unspecified;DAC998_;Environmental research;;UNEP;Kuwait Environmental Public Authority (KEPA) with support from: UNEP Regional Office for West Asia (UNEP/ROWA), Kuwait University (KU), Kuwait Institute for Scientific Research (KISR), Kuwait Foundation for the Advancement of Science (KFAS);;2014;;;0,85;;;0,85;0,85;;;
Adaptation for Smallholder Agriculture Programme (ASAP);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;Livestock and Market Resilience Project;Adaptation;Agriculture;DAC311_;Livestock;;Governments;;;2013;;;10;;;10;9,03;;;
Global Environment Facility (GEF4);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;Improving Energy Efficiency in Buildings;Mitigation - General;Energy;DAC230_;Energy generation, distribution and efficiency - general;;UNDP;;;2008;;;0,9;;;0,9;0,9;;;
Global Environment Facility (GEF4);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;Small Hydro Power Development;Mitigation - General;Energy generation, renewable sources;DAC232_;Hydro-electric power plants;;UNDP;;;2009;;;0,95;;;0,95;0,95;;;
Global Environment Facility (GEF5);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;Sustainable Management of Mountainous Forest and Land Resources under Climate Change Conditions ;Mitigation - General;General environment protection;DAC410_;Environmental policy and administrative management;;FAO;;;2012;;;5,45;;;5,45;;;;
Global Environment Facility (GEF6);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;Sustainable Forest and Land Management†;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;;World Bank;;;2015;;;4,11;;;4,11; ;;;
Green Climate Fund (GCF-1);Multilateral;Multi-country (Panama, Paraguay, Uruguay);Latin America & Caribbean;Not applicable;(FP195) E-Motion: E-Mobility and Low Carbon Transportation;Mitigation - General;Transport & Storage;DAC210_;Road transport;infrastructure, mobility;CorporaciÛn Andina de Fomento (CAF);;;2022;;66,8;9,82;;;76,62;;;;
Green Climate Fund (GCF-1);Multilateral;Indonesia;East Asia & Pacific;Lower middle income;(FP196) Supporting Innovative Mechanisms for Industrial Energy Efficiency Financing in Indonesia with Lessons for Replication in other ASEAN Member States;Mitigation - General;Energy;DAC230_;;energy efficient technologies;Korea Development Bank;;;2022;;;5;100;;105;30,49;;;
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;"(FP197) Green Guarantee Company (""GGC"")";Multiple Foci;Banking & Financial Services;DAC240_;Financial policy and administrative management;private sector, investment;MUFG Bank, Ltd;;;2022;;;;;40,5;40,5;40,5;;;
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;(FP198) CATALI.5∞T Initiative: Concerted Action To Accelerate Local I.5∞ Technologies ñ Latin America and West Africa;Mitigation - General;Banking & Financial Services;DAC240_;Financial policy and administrative management;capacity building, venture investors;Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH;;;2022;;;28,16;;;28,16;7,01;;;
Green Climate Fund (GCF-1);Multilateral;Cambodia;East Asia & Pacific;Lower middle income;(FP199) Public-Social-Private Partnerships for Ecologically-Sound Agriculture and Resilient Livelihood in Northern Tonle Sap Basin (PEARL);Adaptation;Agriculture;DAC311_;Agricultural development;Agriculture, resilience;FAO;Ministry of Environment;Government;2023;2029;;36,23;;;36,23;14,51;LDC;;
Green Climate Fund (GCF-1);Multilateral;Lao PDR;East Asia & Pacific;Lower middle income;(FP200) Scaling up the implementation of the Lao PDR Emission Reductions Programme through improved governance and sustainable forest landscape management (Project 2);Multiple Foci;Agriculture, Forestry, Fishing;DAC310_;;rural, agriculture, NDC;Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ) GmbH;Ministry of Natural Resources and Environment;Government;2023;2027;;34,44;;;34,44;17,53;LDC;;
Green Climate Fund (GCF-1);Multilateral;Philippines;East Asia & Pacific;Lower middle income;(FP201) Adapting Philippine Agriculture to Climate Change (APA);Multiple foci;Agriculture;DAC311_;Agricultural Development;"agriculture, resilience, rural areas
";FAO;Department of Finance;Government;2023;;;26,27;;;26,27;1,83;;;
Green Climate Fund (GCF-1);Multilateral;Bolivia;Latin America & Caribbean;Lower middle income;(FP202) Upscaling Ecosystem Based Climate Resilience of Vulnerable Rural Communities in the Valles Macro-region of the Plurinational State of Bolivia (RECEM-Valles);Adaptation;Agriculture;DAC311_;Agricultural development;vulnerability, resilience;FAO;Ministry of Development Planning;Government;2023;;;33,3;;;33,3;7,6;;;
Green Climate Fund (GCF-1);Multilateral;Colombia;Latin America & Caribbean;Upper middle income;(FP203) Heritage Colombia (HECO): Maximizing the Contributions of Sustainably Managed Landscapes in Colombia for Achievement of Climate Goals;Multiple Foci;General environment protection;DAC410_;Environmental policy and administrative management;Investment, public-private;WWF;National Planning Department;Government;2023;2033;;42,97;;;42,97;3,33;;;
Green Climate Fund (GCF-1);Multilateral;Global;Not applicable;Not applicable;(FP204) Sustainable Renewables Risk Mitigation Initiative (SRMI) Facility (Phase 2 Resilience focus) [SRMI-Resilience];Multiple Foci;Energy generation, renewable sources;DAC232_;Energy generation, renewable sources - multiple technologies;sustainable electricity, access;The World Bank;Ministry of Planning and Development (Ethiopia), SECRETARIAT OF STATE OF THE ENVIRONMENT / GENERAL DIRECTION OF THE ENVIRONMENT (Guinea-Bissau), Fiscal Policy Agency, Ministry of Finance (Indonesia), Ministry of Natural Resources, Ecology and Technical Supervision of the Kyrgyz Republic (Kyrgyzstan), Ministry of Environment and Tourism (Mongolia), Seychelles Sustainable Development Strategy (SSDS) Inter-sectoral Steering Committee (Seychelles), Ministry of Environment and Climate Change (Somalia), Committee of Environmental Protection Under the Government of the Republic of Tajikistan, Ministry of Environment and Sustainable Development (Tunisia);Government;2023;2035;69;78;13;;160;1;;;
Green Climate Fund (GCF-1);Multilateral;Regional - Sub-Saharan Africa;Sub-Saharan Africa;Not applicable;(FP205) Infrastructure Climate Resilient Fund (ICRF);Adaptation;Banking & Financial Services;DAC240_;Financial policy and administrative management;funding, private sector investors, pension funds;Africa Finance Corporation;Ministry of Living Environment and Sustainable Development (Benin), Ministry of Environment, Protection of Nature and Sustainable Development (MINEPDED) (Cameroon), Ministry of the Environment, Fisheries and Sustainable Development (Chad), Minister's Office, Ministry of Environment and Sustainable Development (CÙte d'Ivoire), National Coordination of the Green Climate Fund (DRC), Ministry of Housing, Urban Development and Environment (Djibouti), Conseil National Climat National Climate Council  (Gabon), Ministry of Finance and Economic Affairs (Gambia), Ministry of Finance (Ghana), The National Directorate of the Environment (Guinea), The National Treasury (Kenya), The Environment and Sustainable Development Agency (Mali), Ministry of Environment and Sustainable Development (Mauritania), Ministry of Environment and Tourism (Namibia), National Council on Climate Change (Nigeria), Rwanda Environment Management Authority, Environment Protection Agency (Sierra Leone), Directorate of Environment, Ministry of Environment (Togo), Ministry of Green Economy and Environment (Zambia);Government;2023;;;13,76;;240;253,76;145,55;;;
Green Climate Fund (GCF-1);Multilateral;Bangladesh;South Asia;Lower middle income;(FP206) Resilient Homestead and Livelihood support to the vulnerable coastal people of Bangladesh (RHL);Adaptation;Disaster Prevention & Preparedness;DAC740_;Multi-hazard response preparedness;housing, livelihood technologies;Palli Karma Sahayak Foundation (PKSF);Economic Relations Division (ERD), Ministry of Finance;Government;2023;2028;;42,2;;;42,2;6,21;LDC;;
Special Climate Change Fund (SCCF);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;Promoting Climate Resiliency of Water Supplies in Kyrgyzstan;Adaptation;Water Supply & Sanitation;DAC140_;Water supply and sanitation - large systems;;EBRD;EBRD;;2013;;;5;;;5;5;;;
Adaptation Fund (AF);Multilateral;Kyrgyz Republic;Europe & Central Asia;Lower middle income;Regional Resilient Pastoral Communities Project -ADAPT;Adaptation;Agriculture;DAC311_;Agricultural Development;rural poverty, farming communities;International Fund for Agricultural Development (IFAD);Ministry of Agriculture (MoA),Ministry of Natural Resources, Ecology and Technical Supervision (MoNR);;2022;2026;;10;;;10;0,8;;;
